fire_num,feature_cd,fire_link,fire_stat,fire_sz_ha,fire_year,load_date,objectid,source,track_date,versn_num,longitude,latitude,coordinate
K71778,JA70003000,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=K71778,Out,589.2,2023,2023-08-03,2194024,Corrected ground GPS,2023-08-03,2023080301,-121.885,50.787,"[-121.885, 50.787]"
N21453,JA70003000,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=N21453,Out,5869.7,2023,2023-08-20,2194044,Hand sketch of any type,2023-08-19,2023081901,-115.749,50.637,"[-115.749, 50.637]"
K22543,JA70003000,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=K22543,Out,2.6,2023,2023-08-31,2193960,Non-corrected ground GPS,2023-08-07,2023080701,-120.18,51.409,"[-120.18, 51.409]"
C40109,JA70003000,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=C40109,Out,11.0,2023,2023-07-10,2193672,Non-corrected ground GPS,2023-05-07,2023050701,-121.563,51.223,"[-121.563, 51.223]"
C10439,JA70003000,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=C10439,Out,1.2,2023,2023-06-14,2193628,Non-corrected ground GPS,2023-05-22,2023052201,-123.388,53.161,"[-123.388, 53.161]"
V50556,JA70003000,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=V50556,Out,1.0,2023,2023-06-12,2194220,Non-corrected ground GPS,2023-06-01,2023060101,-124.375,49.846,"[-124.375, 49.846]"
G11447,JA70003000,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G11447,Out,2.0,2023,2023-07-21,2193721,Non-corrected ground GPS,2023-07-11,2023071101,-122.143,53.671,"[-122.143, 53.671]"
VA1456,JA70003000,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=VA1456,Out,4833.5,2023,2023-08-23,2194268,Non-corrected ground GPS,2023-08-22,2023082201,-125.631,52.338,"[-125.631, 52.338]"
R21609,JA70003000,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=R21609,Under Control,201.0,2023,2023-07-30,2194142,Non-corrected airborne GPS,2023-07-30,2023073001,-125.901,55.037,"[-125.901, 55.037]"
N72369,JA70003000,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=N72369,Out,889.8,2023,2023-08-21,2194100,Derived from satellite imagery,2023-08-20,2023082001,-117.288,50.807,"[-117.288, 50.807]"
N43336,JA70003000,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=N43336,Out,2.9,2023,2023-09-22,2194070,Non-corrected airborne GPS,2023-09-21,2023092101,-118.665,51.891,"[-118.665, 51.891]"
G11181,JA70003000,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G11181,Out,1.8,2023,2023-07-21,2193715,Non-corrected ground GPS,2023-07-11,2023071101,-122.159,53.663,"[-122.159, 53.663]"
K42398,JA70003000,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=K42398,Out,2.5,2023,2023-08-16,2193975,Non-corrected ground GPS,2023-08-01,2023080101,-119.003,50.539,"[-119.003, 50.539]"
R31227,JA70003000,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=R31227,Out,5.6,2023,2023-07-10,2194156,Non-corrected airborne GPS,2023-07-08,2023070801,-127.146,54.673,"[-127.146, 54.673]"
V82797,JA70003000,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=V82797,Out,1.9,2023,2023-08-18,2194248,Non-corrected ground GPS,2023-08-17,2023081701,-125.184,50.175,"[-125.184, 50.175]"
VA2327,JA70003000,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=VA2327,Out,1.0,2023,2023-08-02,2194275,Non-corrected airborne GPS,2023-07-30,2023073001,-126.633,51.494,"[-126.633, 51.494]"
K52813,JA70003000,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=K52813,Out,2381.8,2023,2023-09-20,2193996,Non-corrected airborne GPS,2023-09-19,2023091901,-119.677,49.279,"[-119.677, 49.279]"
K42902,JA70003000,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=K42902,Out,2.1,2023,2023-10-11,2193981,Hand sketch of any type,2023-10-11,2023101101,-119.205,50.978,"[-119.205, 50.978]"
G60917,JA70003000,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G60917,Out,2.6,2023,2023-09-01,2193802,Non-corrected ground GPS,2023-06-25,2023062502,-124.624,55.449,"[-124.624, 55.449]"
